arm,condition,treatment_message_id,model,model_family,prompt_variant_number,treatment_message_word_count,valence_correct,gender,age,age_band,education,party_affiliation,political_party,political_ideology,political_knowledge,confinement-1,confinement-2-reversed,confinement-3,confinement-4,confinement_mean
Message 50,AI,ban_solitary_confinement_juveniles_pythia-1.4b_2,pythia-1.4b,pythia,2.0,107.0,1.0,Female,54,45-59,Technical certification or trade school,Strong Republican,4,3,1,0.0,5.0,0.0,0.0,1.25
Control,control,,,,,,,Male,26,18-29,4-year college,Independent,2,0,3,0.0,0.0,3.0,0.0,0.75
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,29,18-29,4-year college,Independent,2,2,3,75.0,75.0,80.0,75.0,76.25
Control,control,,,,,,,Male,61,60+,4-year college,Independent,2,1,2,100.0,0.0,0.0,100.0,50.0
Message 28,AI,ban_solitary_confinement_juveniles_pythia-160m_3,pythia-160m,pythia,3.0,23.0,1.0,Female,45,45-59,Graduate degree,Moderate Democrat,1,1,3,20.0,80.0,97.0,20.0,54.25
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,47,45-59,4-year college,Moderate Democrat,1,0,2,0.0,0.0,0.0,0.0,0.0
Message 25,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_1,Llama-2-7b-hf,Llama,1.0,245.0,1.0,Female,32,30-44,4-year college,Moderate Democrat,1,2,3,82.0,93.0,80.0,81.0,84.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,24,18-29,Graduate degree,Independent,2,1,3,30.0,31.0,28.0,73.0,40.5
Message 38,AI,ban_solitary_confinement_juveniles_pythia-1b_2,pythia-1b,pythia,2.0,88.0,0.0,Male,50,45-59,High school diploma,Strong Republican,4,4,3,72.0,91.0,12.0,84.0,64.75
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,33,30-44,High school diploma,Strong Republican,4,1,3,100.0,100.0,91.0,100.0,97.75
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,31,30-44,Graduate degree,Moderate Democrat,1,1,2,20.0,20.0,12.0,16.0,17.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,36,30-44,4-year college,Moderate Democrat,1,1,1,60.0,70.0,68.0,73.0,67.75
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,52,45-59,Graduate degree,Strong Democrat,0,0,3,100.0,100.0,69.0,86.0,88.75
Control,control,,,,,,,Female,26,18-29,High school diploma,Strong Democrat,0,0,2,86.0,16.0,11.0,19.0,33.0
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,44,30-44,Graduate degree,Independent,2,3,3,49.0,49.0,49.0,51.0,49.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,40,30-44,4-year college,Independent,2,0,1,0.0,0.0,0.0,0.0,0.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,50,45-59,High school diploma,Independent,2,2,3,95.0,95.0,95.0,95.0,95.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,22,18-29,2-year college,Strong Democrat,0,0,3,31.0,75.0,66.0,66.0,59.5
Message 57,AI,ban_solitary_confinement_juveniles_falcon-7b_1,falcon-7b,falcon,1.0,185.0,1.0,Non-binary / third gender,28,18-29,High school diploma,"Other (Libertarian, Green, etc.)",2,0,3,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Female,29,18-29,High school diploma,Strong Democrat,0,0,2,0.0,0.0,0.0,0.0,0.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,27,18-29,4-year college,Strong Democrat,0,1,3,68.0,84.0,19.0,80.0,62.75
Message 53,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_2,Qwen1.5-1.8B,Qwen1.5,2.0,256.0,0.0,Male,40,30-44,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,100.0,25.0
Message 33,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_2,Qwen1.5-14B,Qwen1.5,2.0,262.0,1.0,Female,23,18-29,2-year college,Moderate Republican,3,3,1,50.0,80.0,70.0,85.0,71.25
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,49,45-59,High school diploma,Moderate Republican,3,3,2,70.0,70.0,40.0,40.0,55.0
Message 57,AI,ban_solitary_confinement_juveniles_falcon-7b_1,falcon-7b,falcon,1.0,185.0,1.0,Female,45,45-59,High school diploma,Strong Republican,4,2,3,100.0,100.0,100.0,0.0,75.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,32,30-44,Graduate degree,Moderate Democrat,1,1,3,96.0,96.0,85.0,4.0,70.25
Message 61,AI,ban_solitary_confinement_juveniles_falcon-40b_3,falcon-40b,falcon,3.0,303.0,1.0,Female,40,30-44,2-year college,Independent,2,2,3,19.0,18.0,60.0,10.0,26.75
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,37,30-44,4-year college,Moderate Republican,3,2,3,100.0,100.0,100.0,100.0,100.0
Message 53,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_2,Qwen1.5-1.8B,Qwen1.5,2.0,256.0,0.0,Male,25,18-29,4-year college,Moderate Democrat,1,1,3,10.0,10.0,30.0,10.0,15.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,46,45-59,Graduate degree,Moderate Republican,3,3,3,100.0,100.0,100.0,0.0,75.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,40,30-44,Graduate degree,Moderate Democrat,1,0,2,10.0,10.0,10.0,92.0,30.5
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,34,30-44,Technical certification or trade school,Moderate Republican,3,3,1,100.0,0.0,29.0,100.0,57.25
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,45,45-59,4-year college,Independent,2,0,3,13.0,19.0,11.0,83.0,31.5
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,51,45-59,4-year college,Strong Democrat,0,4,3,33.0,30.0,59.0,50.0,43.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,29,18-29,4-year college,Moderate Democrat,1,1,1,76.0,11.0,47.0,32.0,41.5
Message 22,AI,ban_solitary_confinement_juveniles_pythia-160m_2,pythia-160m,pythia,2.0,59.0,0.0,Female,31,30-44,4-year college,"Other (Libertarian, Green, etc.)",2,2,2,100.0,100.0,0.0,0.0,50.0
Message 30,AI,ban_solitary_confinement_juveniles_pythia-2.8b_3,pythia-2.8b,pythia,3.0,222.0,0.0,Male,36,30-44,High school diploma,Strong Democrat,0,1,3,55.0,54.0,65.0,60.0,58.5
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Female,54,45-59,Graduate degree,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,27,18-29,4-year college,Strong Democrat,0,0,3,75.0,75.0,80.0,80.0,77.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,40,30-44,4-year college,Strong Democrat,0,1,3,0.0,0.0,0.0,100.0,25.0
Message 39,AI,ban_solitary_confinement_juveniles_Yi-6B_1,Yi-6B,Yi,1.0,279.0,1.0,Female,30,30-44,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Male,59,45-59,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,100.0,25.0
Message 17,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_2,Llama-2-7b-hf,Llama,2.0,244.0,0.0,Female,58,45-59,4-year college,"Other (Libertarian, Green, etc.)",2,2,2,0.0,0.0,8.0,0.0,2.0
Message 65,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_1,Qwen1.5-14B,Qwen1.5,1.0,266.0,1.0,Female,26,18-29,Graduate degree,Moderate Republican,3,3,3,69.0,19.0,38.0,64.0,47.5
Message 42,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_3,Llama-2-7b-hf,Llama,3.0,222.0,1.0,Female,18,18-29,2-year college,Strong Democrat,0,0,2,50.0,50.0,50.0,50.0,50.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,30,30-44,4-year college,Independent,2,3,3,65.0,50.0,50.0,50.0,53.75
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,50,45-59,High school diploma,Moderate Republican,3,2,3,60.0,60.0,50.0,60.0,57.5
Message 50,AI,ban_solitary_confinement_juveniles_pythia-1.4b_2,pythia-1.4b,pythia,2.0,107.0,1.0,Female,50,45-59,Graduate degree,Moderate Republican,3,3,1,10.0,20.0,30.0,10.0,17.5
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,38,30-44,4-year college,Strong Republican,4,4,3,76.0,74.0,38.0,35.0,55.75
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Male,27,18-29,4-year college,Strong Democrat,0,4,1,81.0,16.0,85.0,100.0,70.5
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Male,37,30-44,Graduate degree,Strong Democrat,0,0,3,0.0,100.0,65.0,100.0,66.25
Control,control,,,,,,,Female,38,30-44,4-year college,Strong Republican,4,4,3,70.0,62.0,32.0,58.0,55.5
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,32,30-44,4-year college,Strong Republican,4,4,2,74.0,78.0,18.0,79.0,62.25
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,25,18-29,Graduate degree,Strong Democrat,0,0,2,5.0,7.0,5.0,95.0,28.0
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Female,34,30-44,4-year college,Moderate Democrat,1,2,3,25.0,29.0,42.0,50.0,36.5
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,26,18-29,4-year college,Strong Democrat,0,0,3,0.0,21.0,11.0,99.0,32.75
Control,control,,,,,,,Female,25,18-29,Graduate degree,Moderate Democrat,1,1,2,100.0,0.0,0.0,0.0,25.0
Control,control,,,,,,,Female,54,45-59,Graduate degree,Moderate Democrat,1,2,3,0.0,0.0,0.0,0.0,0.0
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,25,18-29,High school diploma,Independent,2,2,3,81.0,20.0,80.0,19.0,50.0
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Female,46,45-59,High school diploma,Strong Republican,4,4,2,90.0,93.0,26.0,100.0,77.25
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,27,18-29,4-year college,Moderate Republican,3,3,3,90.0,90.0,75.0,90.0,86.25
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,20,18-29,High school diploma,Independent,2,2,1,49.0,50.0,20.0,80.0,49.75
Control,control,,,,,,,Female,43,30-44,2-year college,Independent,2,0,3,78.0,72.0,45.0,53.0,62.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Male,60,60+,Graduate degree,Moderate Democrat,1,1,3,100.0,100.0,100.0,0.0,75.0
Message 06,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_3,Qwen1.5-1.8B,Qwen1.5,3.0,203.0,0.0,Female,54,45-59,2-year college,Strong Republican,4,4,2,100.0,0.0,51.0,100.0,62.75
Control,control,,,,,,,Female,52,45-59,4-year college,Independent,2,2,1,0.0,100.0,0.0,0.0,25.0
Message 35,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_1,Qwen1.5-7B,Qwen1.5,1.0,180.0,1.0,Male,43,30-44,4-year college,Strong Democrat,0,0,1,7.0,8.0,12.0,9.0,9.0
Control,control,,,,,,,Female,30,30-44,4-year college,Independent,2,0,2,100.0,0.0,0.0,0.0,25.0
Message 36,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_3,Qwen1.5-0.5B,Qwen1.5,3.0,298.0,0.0,Male,38,30-44,4-year college,Strong Democrat,0,1,3,35.0,15.0,0.0,40.0,22.5
Message 07,AI,ban_solitary_confinement_juveniles_pythia-1b_3,pythia-1b,pythia,3.0,119.0,0.0,Female,42,30-44,Technical certification or trade school,Strong Democrat,0,1,1,60.0,60.0,50.0,50.0,55.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,26,18-29,4-year college,Independent,2,0,1,63.0,38.0,42.0,41.0,46.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,54,45-59,2-year college,Independent,2,2,3,22.0,18.0,20.0,25.0,21.25
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,37,30-44,4-year college,Independent,2,2,2,100.0,100.0,93.0,6.0,74.75
Control,control,,,,,,,Female,33,30-44,4-year college,Strong Republican,4,4,3,35.0,25.0,35.0,30.0,31.25
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,37,30-44,4-year college,Moderate Democrat,1,0,2,51.0,40.0,65.0,74.0,57.5
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Female,22,18-29,4-year college,Strong Democrat,0,0,2,0.0,10.0,3.0,12.0,6.25
Message 01,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_1,Qwen1.5-0.5B,Qwen1.5,1.0,155.0,1.0,Female,29,18-29,High school diploma,Moderate Democrat,1,1,2,4.0,20.0,20.0,92.0,34.0
Message 18,AI,ban_solitary_confinement_juveniles_falcon-7b_3,falcon-7b,falcon,3.0,250.0,0.0,Female,33,30-44,High school diploma,Moderate Democrat,1,1,3,80.0,90.0,70.0,80.0,80.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,50,45-59,2-year college,Independent,2,1,3,50.0,50.0,25.0,50.0,43.75
Control,control,,,,,,,Male,45,45-59,2-year college,Moderate Democrat,1,1,3,50.0,20.0,10.0,50.0,32.5
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,49,45-59,4-year college,Moderate Democrat,1,0,2,84.0,73.0,27.0,11.0,48.75
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,46,45-59,2-year college,Strong Republican,4,4,2,70.0,32.0,68.0,70.0,60.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,63,60+,4-year college,Independent,2,1,2,10.0,10.0,70.0,10.0,25.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,24,18-29,4-year college,Independent,2,1,3,35.0,57.0,60.0,40.0,48.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,28,18-29,4-year college,Strong Democrat,0,1,3,20.0,20.0,15.0,10.0,16.25
Message 29,AI,ban_solitary_confinement_juveniles_Yi-34B_3,Yi-34B,Yi,3.0,228.0,1.0,Female,37,30-44,4-year college,Strong Republican,4,4,3,100.0,100.0,100.0,100.0,100.0
Control,control,,,,,,,Female,36,30-44,Graduate degree,Moderate Democrat,1,1,3,0.0,0.0,0.0,0.0,0.0
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Female,38,30-44,2-year college,Independent,2,1,1,51.0,49.0,40.0,51.0,47.75
Control,control,,,,,,,Female,43,30-44,2-year college,Moderate Democrat,1,1,3,11.0,8.0,5.0,0.0,6.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,56,45-59,4-year college,Moderate Democrat,1,1,3,10.0,10.0,10.0,10.0,10.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,70,60+,4-year college,Strong Democrat,0,1,3,50.0,50.0,50.0,50.0,50.0
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,61,60+,Graduate degree,Moderate Republican,3,3,3,50.0,25.0,75.0,30.0,45.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,28,18-29,4-year college,Independent,2,1,2,90.0,10.0,5.0,5.0,27.5
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Male,65,60+,4-year college,Independent,2,1,3,75.0,75.0,70.0,75.0,73.75
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,38,30-44,2-year college,Moderate Democrat,1,1,3,50.0,50.0,50.0,50.0,50.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,19,18-29,High school diploma,Moderate Democrat,1,0,3,20.0,14.0,5.0,100.0,34.75
Control,control,,,,,,,Female,33,30-44,Graduate degree,Strong Democrat,0,0,2,0.0,100.0,100.0,7.0,51.75
Message 34,AI,ban_solitary_confinement_juveniles_Yi-6B_2,Yi-6B,Yi,2.0,286.0,1.0,Female,22,18-29,High school diploma,Independent,2,2,3,20.0,30.0,31.0,25.0,26.5
Message 38,AI,ban_solitary_confinement_juveniles_pythia-1b_2,pythia-1b,pythia,2.0,88.0,0.0,Female,63,60+,Graduate degree,Moderate Democrat,1,1,2,10.0,8.0,10.0,10.0,9.5
Message 45,AI,ban_solitary_confinement_juveniles_pythia-6.9b_3,pythia-6.9b,pythia,3.0,255.0,0.0,Female,61,60+,4-year college,Independent,2,1,3,27.0,19.0,13.0,19.0,19.5
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Non-binary / third gender,21,18-29,High school diploma,Independent,2,0,2,74.0,72.0,66.0,76.0,72.0
Control,control,,,,,,,Female,37,30-44,High school diploma,Moderate Democrat,1,1,3,85.0,7.0,37.0,16.0,36.25
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,39,30-44,High school diploma,Independent,2,3,3,66.0,68.0,69.0,67.0,67.5
Control,control,,,,,,,Male,34,30-44,Graduate degree,Independent,2,2,3,70.0,70.0,70.0,70.0,70.0
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,40,30-44,4-year college,Independent,2,0,3,10.0,10.0,10.0,10.0,10.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Male,36,30-44,2-year college,Independent,2,1,3,20.0,20.0,20.0,80.0,35.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,22,18-29,4-year college,Moderate Democrat,1,1,2,70.0,45.0,70.0,35.0,55.0
Control,control,,,,,,,Female,23,18-29,2-year college,Independent,2,2,3,50.0,36.0,16.0,71.0,43.25
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,49,45-59,4-year college,Independent,2,4,3,30.0,30.0,40.0,40.0,35.0
Message 06,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_3,Qwen1.5-1.8B,Qwen1.5,3.0,203.0,0.0,Female,27,18-29,High school diploma,Moderate Republican,3,3,3,92.0,8.0,57.0,5.0,40.5
Control,control,,,,,,,Female,29,18-29,4-year college,Independent,2,1,2,60.0,65.0,59.0,46.0,57.5
Control,control,,,,,,,Male,46,45-59,4-year college,Moderate Democrat,1,1,2,92.0,26.0,88.0,12.0,54.5
Control,control,,,,,,,Female,37,30-44,Technical certification or trade school,Independent,2,2,3,100.0,100.0,100.0,0.0,75.0
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,47,45-59,2-year college,"Other (Libertarian, Green, etc.)",2,2,3,75.0,75.0,68.0,25.0,60.75
Message 41,AI,ban_solitary_confinement_juveniles_pythia-70m_2,pythia-70m,pythia,2.0,145.0,0.0,Female,47,45-59,High school diploma,Strong Democrat,0,1,3,0.0,0.0,0.0,0.0,0.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,29,18-29,4-year college,Strong Republican,4,4,3,60.0,59.0,53.0,39.0,52.75
Control,control,,,,,,,Female,66,60+,2-year college,Strong Democrat,0,1,3,0.0,0.0,0.0,100.0,25.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,31,30-44,2-year college,Strong Democrat,0,0,3,61.0,60.0,53.0,42.0,54.0
Message 50,AI,ban_solitary_confinement_juveniles_pythia-1.4b_2,pythia-1.4b,pythia,2.0,107.0,1.0,Non-binary / third gender,22,18-29,High school diploma,Independent,2,2,2,66.0,77.0,32.0,16.0,47.75
Message 43,AI,ban_solitary_confinement_juveniles_pythia-160m_1,pythia-160m,pythia,1.0,14.0,0.0,Female,24,18-29,4-year college,Independent,2,0,3,0.0,0.0,0.0,0.0,0.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,25,18-29,Graduate degree,Strong Democrat,0,0,3,41.0,55.0,54.0,56.0,51.5
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Male,43,30-44,Graduate degree,Strong Democrat,0,1,3,73.0,70.0,57.0,56.0,64.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,18,18-29,High school diploma,Independent,2,3,3,96.0,82.0,83.0,92.0,88.25
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,29,18-29,Graduate degree,Independent,2,2,1,60.0,65.0,51.0,70.0,61.5
Message 20,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_2,Llama-2-13b-hf,Llama,2.0,267.0,1.0,Female,64,60+,High school diploma,Moderate Democrat,1,3,3,70.0,80.0,80.0,0.0,57.5
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,67,60+,Graduate degree,Independent,2,1,3,70.0,70.0,70.0,30.0,60.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,38,30-44,4-year college,Moderate Democrat,1,1,1,62.0,59.0,52.0,29.0,50.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,73,60+,4-year college,Moderate Republican,3,3,3,91.0,99.0,74.0,93.0,89.25
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,25,18-29,4-year college,Moderate Republican,3,3,3,90.0,80.0,79.0,77.0,81.5
Control,control,,,,,,,Female,32,30-44,High school diploma,Strong Democrat,0,0,1,20.0,24.0,19.0,24.0,21.75
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,42,30-44,Graduate degree,Moderate Democrat,1,1,3,70.0,58.0,60.0,41.0,57.25
Control,control,,,,,,,Male,32,30-44,Graduate degree,Moderate Democrat,1,1,3,0.0,0.0,12.0,0.0,3.0
Message 23,AI,ban_solitary_confinement_juveniles_pythia-410m_3,pythia-410m,pythia,3.0,131.0,1.0,Female,50,45-59,2-year college,Independent,2,1,2,6.0,5.0,5.0,96.0,28.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,65,60+,Graduate degree,Strong Republican,4,4,3,92.0,93.0,90.0,91.0,91.5
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Female,52,45-59,Technical certification or trade school,Strong Republican,4,3,3,100.0,100.0,0.0,0.0,50.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Male,35,30-44,High school diploma,Independent,2,3,0,39.0,50.0,37.0,35.0,40.25
